ID;Название;Вердикт;Status;Длина_Ряда;Среднее_Значение;Станд_Отклонение;Коэф_Вариации;Асимметрия_Сдвига;Эксцесс_Хвостов;Процентиль_75;Процентиль_95;Коэф_Аномалий_Шага;Энтропия_Шеннона;Энтропия_Перестановок;Приближенная_Энтропия_ApEn;Автокорреляция_Лаг1;Автокорреляция_Лаг2;Автокорреляция_Лаг3;Автокорреляция_Лаг4;Автокорреляция_Лаг5;Энергия_Спектра_Фурье;Главная_Частота_Фурье;Пик_Амплитуды_Фурье;Медианная_Частота_Фурье;Дисперсия_Спектра_Фурье;Спектральная_Энтропия_Фурье;Радиус_Векторного_Облака;Физическая_Длина_Змеи;Доля_Оси_PCA_X;Доля_Оси_PCA_Y;Доля_Оси_PCA_Z;Сила_Ротора_Закрутки;Индекс_Сквозных_Дыр;Коэф_Ветвления_Пирсона;Фрактал_Размерность_GP;Показатель_Херста_Памяти;Девиация_Закона_Бенфорда;Доля_Первых_Единиц_Бенфорда;Бенфорд_Хи_Квадрат;Бенфорд_KL_Дивергенция;Бенфорд_Стат_Вердикт
"=""A009090""";Expansion of e.g.f. cos(tanh(x))/exp(x).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=7.83821125085849e+30;Успешно;"=""22.0""";"=""-8013736393434668.0""";"=""3.744265192787819e+16""";"=""4.6723""";"=""-4.3629""";"=""17.0394""";"=""1988380.0""";"=""751181868857740.2""";"=""20.71""";"=""4.4594""";"=""2.166""";"=""0.1849""";"=""-0.9479""";"=""-1.0""";"=""0.9417""";"=""1.0""";"=""-0.9337""";"=""3.557044289200067e+35""";"=""9.0""";"=""1.813574841786703e+17""";"=""6.0""";"=""1740052979329867.0""";"=""3.4594""";"=""1.707967999902361e+16""";"=""1.8480220311462634e+17""";"=""0.9954""";"=""0.0046""";"=""0.0""";"=""7.83821125085849e+30""";"=""0.0""";"=""-0.8974""";"=""0.0""";"=""0.4924""";"=""0.0191""";"=""0.2381""";"=""-1.0""";"=""0.1163""";Мало данных (Оценка по KL)
"=""A009091""";Expansion of e.g.f. cos(tanh(x)*cos(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=7.152823265739384e+42;Успешно;"=""14.0""";"=""-6.481429606698755e+23""";"=""2.3430682346714494e+24""";"=""3.615""";"=""-3.3282""";"=""9.0768""";"=""135710216.0""";"=""7.781289005634017e+21""";"=""12.97""";"=""3.8074""";"=""1.0""";"=""0.2573""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""5.795901451669899e+50""";"=""7.0""";"=""9.118465598882802e+24""";"=""4.0""";"=""1.54064026904303e+22""";"=""2.8074""";"=""1.3900047768789412e+24""";"=""9.140788006804767e+24""";"=""1.0""";"=""0.0""";"=""0.0""";"=""7.152823265739384e+42""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.486""";"=""0.0498""";"=""0.2857""";"=""-1.0""";"=""0.3616""";Нетипичный ряд
"=""A009092""";Expansion of e.g.f. cos(tanh(x)*exp(x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=8.025571838464637e+29;Успешно;"=""22.0""";"=""-863106858095575.6""";"=""4781558482409269.0""";"=""5.5399""";"=""-4.1939""";"=""16.2083""";"=""76288.75""";"=""151874463785511.84""";"=""18.55""";"=""4.4594""";"=""1.9589""";"=""0.3676""";"=""-0.981""";"=""-0.9982""";"=""0.9735""";"=""0.9954""";"=""-0.9517""";"=""5.864772279053722e+33""";"=""11.0""";"=""2.5762504189007468e+16""";"=""6.0""";"=""2340959733727439.5""";"=""3.4518""";"=""2185293587793501.5""";"=""2.9573440466126132e+16""";"=""0.9726""";"=""0.0273""";"=""0.0""";"=""8.025571838464637e+29""";"=""0.0""";"=""-0.9844""";"=""0.0""";"=""0.4889""";"=""0.0894""";"=""0.5714""";"=""-1.0""";"=""0.4341""";Нетипичный ряд
"=""A009093""";Expansion of e.g.f. cos(tanh(x)*log(1+x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=8.030262698847099e+30;Успешно;"=""22.0""";"=""6.250984752723377e+16""";"=""3.044848456372562e+17""";"=""4.871""";"=""4.3391""";"=""16.9138""";"=""2798028.0""";"=""4607714618081264.0""";"=""19.78""";"=""4.2433""";"=""1.469""";"=""0.3676""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""0.9998""";"=""-1.0""";"=""2.3630269254206834e+37""";"=""11.0""";"=""1.5454462904306007e+18""";"=""6.0""";"=""6.010427020951677e+16""";"=""3.4582""";"=""1.3890679838256661e+17""";"=""1.638197986073121e+18""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""8.030262698847099e+30""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.4919""";"=""0.0416""";"=""0.2632""";"=""-1.0""";"=""0.3459""";Нетипичный ряд
"=""A009094""";Expansion of e.g.f. cos(tanh(x)*tan(x)) (only powers that are multiples of 4).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=3.502134544403436e+70;Успешно;"=""11.0""";"=""3.0573799480220263e+40""";"=""9.668249285730499e+40""";"=""3.1623""";"=""2.846""";"=""6.1""";"=""2.2401185643741342e+30""";"=""1.6815589713897134e+41""";"=""10.0""";"=""3.4594""";"=""1.2244""";"=""0.3046""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.655240177187213e+83""";"=""1.0""";"=""3.3631161846746255e+41""";"=""3.0""";"=""7.346366542720931e+35""";"=""2.3219""";"=""6.643171325105624e+40""";"=""3.3631068677244713e+41""";"=""1.0""";"=""0.0""";"=""0.0""";"=""3.502134544403436e+70""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4801""";"=""0.0365""";"=""0.3636""";"=""-1.0""";"=""0.4347""";Нетипичный ряд
"=""A009095""";Expansion of e.g.f. cos(tanh(x)/cos(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=1.7593626873794968e+44;Успешно;"=""15.0""";"=""1.1204900360077349e+24""";"=""4.1877211232079843e+24""";"=""3.7374""";"=""3.4744""";"=""10.0714""";"=""7.1928154423642264e+16""";"=""5.049244562946784e+24""";"=""13.99""";"=""3.9069""";"=""1.9501""";"=""0.2449""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""1.0""";"=""-0.9855""";"=""1.972913423148263e+51""";"=""1.0""";"=""1.680577340092036e+25""";"=""4.0""";"=""1.198338288690805e+22""";"=""2.8074""";"=""2.3840976219601546e+24""";"=""1.6789508838347773e+25""";"=""1.0""";"=""0.0""";"=""0.0""";"=""1.7593626873794968e+44""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4873""";"=""0.0695""";"=""0.5333""";"=""-1.0""";"=""0.3989""";Нетипичный ряд
"=""A009096""";Ordered perimeters of Pythagorean triangles, listed with multiplicity.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9987;Успешно;"=""58.0""";"=""145.86""";"=""66.83""";"=""0.4582""";"=""-0.2105""";"=""-1.0517""";"=""203.0""";"=""240.0""";"=""2.85""";"=""5.2327""";"=""-0.0""";"=""1.8347""";"=""0.9987""";"=""0.9978""";"=""0.9976""";"=""0.9974""";"=""0.9972""";"=""7520088.0""";"=""1.0""";"=""2083.39""";"=""6.0""";"=""395.9""";"=""4.2136""";"=""95.04""";"=""480.26""";"=""0.956""";"=""0.0259""";"=""0.018""";"=""1136.69""";"=""0.0026""";"=""-0.1303""";"=""0.0""";"=""0.7903""";"=""0.0529""";"=""0.4483""";"=""19.1396""";"=""0.2707""";Нетипичный ряд
"=""A009097""";Expansion of e.g.f. cos(x)*cos(log(1+x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=1.6980164331947137e+38;Успешно;"=""25.0""";"=""3.6466925301831054e+20""";"=""1.8608138220385547e+21""";"=""5.1027""";"=""4.6828""";"=""19.9717""";"=""61296222.0""";"=""1.1966648177634503e+19""";"=""23.06""";"=""4.6439""";"=""1.4247""";"=""0.1713""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""1.082071275090542e+45""";"=""12.0""";"=""9.857429612607773e+21""";"=""6.0""";"=""2.575762305515523e+20""";"=""3.5844""";"=""7.899448052583956e+20""";"=""1.025564735841501e+22""";"=""1.0""";"=""0.0""";"=""0.0""";"=""1.6980164331947137e+38""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.4934""";"=""0.0233""";"=""0.375""";"=""-1.0""";"=""0.1144""";Мало данных (Оценка по KL)
"=""A009098""";Expansion of e.g.f. cos(x)*cos(sinh(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=1.7277062005586987e+39;Успешно;"=""17.0""";"=""1.1888670551876467e+21""";"=""4.7129114185006753e+21""";"=""3.9642""";"=""3.7495""";"=""12.0603""";"=""3149702656.0""";"=""4.1445138780039015e+21""";"=""15.86""";"=""4.0875""";"=""1.8892""";"=""0.2237""";"=""1.0""";"=""0.9952""";"=""-0.9999""";"=""-1.0""";"=""-0.9999""";"=""3.20956666858262e+45""";"=""1.0""";"=""2.0199256897246758e+22""";"=""4.0""";"=""1.1638500525363862e+20""";"=""3.0""";"=""2.4924169819100833e+21""";"=""2.004060796252091e+22""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""1.7277062005586987e+39""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4893""";"=""0.0778""";"=""0.1176""";"=""-1.0""";"=""0.546""";Нетипичный ряд
"=""A009099""";Expansion of e.g.f. cos(x)*cos(tan(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=7.641512816569506e+40;Успешно;"=""15.0""";"=""6.589593412417828e+22""";"=""2.4531294375433728e+23""";"=""3.7227""";"=""3.4743""";"=""10.0709""";"=""5.082868347814707e+16""";"=""2.983873907397791e+23""";"=""13.93""";"=""3.9069""";"=""1.1451""";"=""0.2449""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""6.770074542009595e+48""";"=""1.0""";"=""9.880313501181632e+23""";"=""4.0""";"=""3.1527248385970033e+21""";"=""2.8073""";"=""1.3965216792941309e+23""";"=""9.837737126995542e+23""";"=""1.0""";"=""0.0""";"=""0.0""";"=""7.641512816569506e+40""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4873""";"=""0.0277""";"=""0.3571""";"=""-1.0""";"=""0.2682""";Нетипичный ряд
"=""A009100""";Expansion of e.g.f. cos(x)*cos(tanh(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=4.981031704165827e+40;Успешно;"=""14.0""";"=""-4.451006842421099e+22""";"=""1.6098531822602523e+23""";"=""3.6168""";"=""-3.3282""";"=""9.0767""";"=""37097808.0""";"=""6.347813453566419e+20""";"=""12.96""";"=""3.8074""";"=""1.0""";"=""0.2573""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""2.7362139350095238e+48""";"=""7.0""";"=""6.267682377796961e+23""";"=""4.0""";"=""1.256978947762676e+21""";"=""2.8074""";"=""9.550374297959464e+22""";"=""6.285906699450047e+23""";"=""1.0""";"=""0.0""";"=""0.0""";"=""4.981031704165827e+40""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.486""";"=""0.0638""";"=""0.3571""";"=""-1.0""";"=""0.5434""";Нетипичный ряд
"=""A009101""";Fixed point when iterating the function f on n, where f(x) = x + product of digits of x.;[Класс 10] Турбулентный Динамический Хаос, ротор=15186.6574, Херст=0.5676;Успешно;"=""59.0""";"=""92.54""";"=""41.85""";"=""0.4522""";"=""0.0297""";"=""0.2023""";"=""102.0""";"=""170.0""";"=""2.45""";"=""3.0983""";"=""2.439""";"=""1.4561""";"=""-0.1253""";"=""0.1682""";"=""-0.143""";"=""0.1399""";"=""0.4346""";"=""3047900.0""";"=""12.0""";"=""793.82""";"=""15.0""";"=""181.01""";"=""4.5545""";"=""64.6""";"=""5463.57""";"=""0.3819""";"=""0.3106""";"=""0.3075""";"=""15186.66""";"=""0.0055""";"=""-0.6196""";"=""0.0""";"=""0.5676""";"=""0.1738""";"=""0.6724""";"=""43.7826""";"=""0.5796""";Нетипичный ряд
"=""A009102""";Expansion of e.g.f. cos(x)/(1+x).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=1.274606528998504e+31;Успешно;"=""21.0""";"=""5.962167225374308e+16""";"=""2.809506963346712e+17""";"=""4.7122""";"=""4.2304""";"=""15.9564""";"=""1960649.0""";"=""3459217276234385.0""";"=""18.99""";"=""4.2971""";"=""0.998""";"=""0.3805""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""0.9999""";"=""-0.9999""";"=""1.740479127649153e+37""";"=""10.0""";"=""1.3830251669347796e+18""";"=""6.0""";"=""4.545280964347433e+16""";"=""3.3211""";"=""1.3159678913457136e+17""";"=""1.4551200712608632e+18""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""1.274606528998504e+31""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.4916""";"=""0.0351""";"=""0.4286""";"=""-1.0""";"=""0.342""";Нетипичный ряд
"=""A009103""";Expansion of e.g.f. cos(x)/cos(log(1+x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=2.0127465592390924e+31;Успешно;"=""20.0""";"=""-9.010257173426474e+16""";"=""4.1030003275513626e+17""";"=""4.5537""";"=""-4.1173""";"=""14.9909""";"=""1750585.75""";"=""4064695191252356.5""";"=""18.2""";"=""4.2219""";"=""1.2516""";"=""0.1985""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""0.9999""";"=""-0.9999""";"=""3.558780054675158e+37""";"=""10.0""";"=""1.958865575264623e+18""";"=""6.0""";"=""5.521621262086699e+16""";"=""3.3213""";"=""1.976044759462622e+17""";"=""2.0425163740392072e+18""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""2.0127465592390924e+31""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.4911""";"=""0.0358""";"=""0.2778""";"=""-1.0""";"=""0.2956""";Нетипичный ряд
"=""A009104""";Expansion of e.g.f. cos(x)/cos(sin(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=3.2209230099025812e+38;Успешно;"=""15.0""";"=""-5.0906489900571846e+20""";"=""1.8864903404172408e+21""";"=""3.7058""";"=""-3.4739""";"=""10.0693""";"=""7400.0""";"=""550348675807127.7""";"=""13.87""";"=""3.9069""";"=""1.8339""";"=""0.2449""";"=""1.0""";"=""0.9997""";"=""-1.0""";"=""-1.0""";"=""0.9256""";"=""4.0037015300484996e+44""";"=""1.0""";"=""7.630068624903131e+21""";"=""4.0""";"=""4.64152624620337e+19""";"=""2.8073""";"=""1.0738894271119251e+21""";"=""7.567692968456071e+21""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""3.2209230099025812e+38""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4872""";"=""0.0699""";"=""0.5""";"=""-1.0""";"=""0.5348""";Нетипичный ряд
"=""A009105""";Expansion of e.g.f. cos(x)/cos(sinh(x)), even powers only.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.4744;Успешно;"=""15.0""";"=""1.651093455834933e+25""";"=""6.164514578308608e+25""";"=""3.7336""";"=""3.4744""";"=""10.0713""";"=""1.6093179173609364e+18""";"=""7.449780174830883e+25""";"=""13.97""";"=""3.9069""";"=""0.3912""";"=""0.2449""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""4.275139498445178e+53""";"=""1.0""";"=""2.4762071478880923e+26""";"=""4.0""";"=""3.369283212388633e+23""";"=""2.8074""";"=""3.5094595161291042e+25""";"=""2.471659855085962e+26""";"=""1.0""";"=""0.0""";"=""0.0""";"=""3.3618051783415745e+45""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4873""";"=""0.047""";"=""0.4286""";"=""-1.0""";"=""0.4562""";Нетипичный ряд
"=""A009106""";Expansion of e.g.f. cos(x)/cos(tan(x)), even powers only.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.3282;Успешно;"=""14.0""";"=""8.048547575631705e+24""";"=""2.8971018962500355e+25""";"=""3.5995""";"=""3.3282""";"=""9.0769""";"=""5.2142574412541235e+17""";"=""3.949010034824581e+25""";"=""12.98""";"=""3.8074""";"=""0.4138""";"=""0.2573""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""8.856245898552983e+52""";"=""1.0""";"=""1.1266229722878234e+26""";"=""4.0""";"=""1.2074558615603342e+23""";"=""2.8074""";"=""1.71858448180796e+25""";"=""1.1250505237869183e+26""";"=""1.0""";"=""0.0""";"=""0.0""";"=""4.910339492501125e+44""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.486""";"=""0.0885""";"=""0.5385""";"=""-1.0""";"=""0.5979""";Нетипичный ряд
"=""A009107""";Expansion of e.g.f. cos(x)/cos(tanh(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=3.2174074483721597e+40;Успешно;"=""15.0""";"=""-7.148152004731951e+21""";"=""2.6650738920876734e+22""";"=""3.7283""";"=""-3.4743""";"=""10.0711""";"=""284.0""";"=""7.217136792318036e+17""";"=""13.95""";"=""3.9069""";"=""1.8543""";"=""0.2449""";"=""0.9999""";"=""-1.0""";"=""0.9994""";"=""0.9999""";"=""-1.0""";"=""7.990446206573258e+46""";"=""1.0""";"=""1.0719212069094966e+23""";"=""4.0""";"=""2.4368558205695105e+20""";"=""2.8074""";"=""1.517203316632387e+22""";"=""1.0687096252078906e+23""";"=""1.0""";"=""0.0""";"=""0.0""";"=""3.2174074483721597e+40""";"=""0.0""";"=""0.9999""";"=""0.0""";"=""0.4873""";"=""0.0669""";"=""0.1429""";"=""-1.0""";"=""0.5067""";Нетипичный ряд
"=""A009108""";Expansion of e.g.f. cos(x)/cosh(log(1+x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=5.270107491096868e+29;Успешно;"=""22.0""";"=""-2217920865547748.2""";"=""1.0283142932367632e+16""";"=""4.6364""";"=""-4.3639""";"=""17.0449""";"=""785603.25""";"=""188248804371193.5""";"=""20.83""";"=""4.3685""";"=""2.2955""";"=""0.1849""";"=""-0.8705""";"=""-0.9942""";"=""0.9986""";"=""-1.0""";"=""0.8119""";"=""2.6814243695857566e+34""";"=""7.0""";"=""4.964486713571893e+16""";"=""6.0""";"=""272262431381721.9""";"=""3.4594""";"=""4690501603340392.0""";"=""5.023693877075423e+16""";"=""0.9959""";"=""0.0041""";"=""0.0""";"=""5.270107491096868e+29""";"=""0.0""";"=""-0.5809""";"=""0.0""";"=""0.4925""";"=""0.0321""";"=""0.4286""";"=""-1.0""";"=""0.2699""";Нетипичный ряд
"=""A009109""";Expansion of e.g.f. cos(x)/cosh(sin(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=6.920289661988158e+41;Успешно;"=""14.0""";"=""-1.9937467418364033e+23""";"=""7.206686763683862e+23""";"=""3.6146""";"=""-3.3282""";"=""9.0768""";"=""46982080.0""";"=""2.2918429932763262e+21""";"=""12.97""";"=""3.8074""";"=""1.0""";"=""0.2573""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""5.482977328299991e+49""";"=""7.0""";"=""2.8043415823828823e+24""";"=""4.0""";"=""4.537619659979192e+21""";"=""2.8074""";"=""4.2752978397337526e+23""";"=""2.810915412508015e+24""";"=""1.0""";"=""0.0""";"=""0.0""";"=""6.920289661988158e+41""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.486""";"=""0.0346""";"=""0.3571""";"=""-1.0""";"=""0.4225""";Нетипичный ряд
"=""A009110""";Expansion of e.g.f. cos(x)/cosh(tan(x)), even powers only.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=2.426789115388558e+49;Успешно;"=""17.0""";"=""2.1790535655180567e+26""";"=""8.73566950330149e+26""";"=""4.0089""";"=""3.75""";"=""12.0624""";"=""400.0""";"=""7.42433136717321e+26""";"=""15.97""";"=""4.0875""";"=""1.8892""";"=""0.2237""";"=""-0.9999""";"=""-1.0""";"=""-1.0""";"=""-1.0""";"=""0.9999""";"=""1.1027072681446736e+56""";"=""8.0""";"=""3.7196634259375065e+27""";"=""4.0""";"=""5.241414358650456e+24""";"=""3.0""";"=""4.62028496982872e+26""";"=""3.727571412443021e+27""";"=""1.0""";"=""0.0""";"=""0.0""";"=""2.426789115388558e+49""";"=""0.0""";"=""-0.9999""";"=""0.0""";"=""0.4893""";"=""0.0995""";"=""0.1765""";"=""-1.0""";"=""0.7649""";Нетипичный ряд
"=""A009111""";List of ordered areas of Pythagorean triangles.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9986;Успешно;"=""51.0""";"=""690.0""";"=""491.85""";"=""0.7128""";"=""0.3116""";"=""-1.1603""";"=""1047.0""";"=""1518.0""";"=""2.97""";"=""5.5008""";"=""-0.0""";"=""1.7643""";"=""0.9986""";"=""0.9973""";"=""0.996""";"=""0.9954""";"=""0.9947""";"=""314609616.0""";"=""1.0""";"=""14002.07""";"=""5.0""";"=""2780.99""";"=""3.9727""";"=""711.24""";"=""3175.79""";"=""0.9532""";"=""0.0286""";"=""0.0182""";"=""44215.87""";"=""0.0004""";"=""-0.002""";"=""0.0""";"=""0.7871""";"=""0.0119""";"=""0.3333""";"=""7.0982""";"=""0.0998""";Значим (Хи-Квадрат OK)
"=""A009112""";Areas of Pythagorean triangles: numbers which can be the area of a right triangle with integer sides.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9986;Успешно;"=""51.0""";"=""765.29""";"=""560.1""";"=""0.7319""";"=""0.3477""";"=""-1.1576""";"=""1272.0""";"=""1713.0""";"=""4.14""";"=""5.6724""";"=""-0.0""";"=""1.879""";"=""0.9986""";"=""0.9979""";"=""0.9975""";"=""0.9972""";"=""0.9968""";"=""407979972.0""";"=""1.0""";"=""16046.39""";"=""5.0""";"=""3154.17""";"=""3.9944""";"=""809.78""";"=""3542.83""";"=""0.9568""";"=""0.0257""";"=""0.0175""";"=""56998.64""";"=""0.0003""";"=""-0.0448""";"=""0.0""";"=""0.7872""";"=""0.0189""";"=""0.3922""";"=""6.7476""";"=""0.1011""";Значим (Хи-Квадрат OK)
"=""A009113""";Expansion of e.g.f. cos(x)/exp(sinh(x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=5.211333327666391e+25;Успешно;"=""25.0""";"=""-61244773807153.56""";"=""339790007358651.8""";"=""5.5481""";"=""-4.5778""";"=""19.4008""";"=""28345.0""";"=""2568926062629.79""";"=""21.11""";"=""4.4839""";"=""1.6349""";"=""0.3342""";"=""-1.0""";"=""1.0""";"=""-0.9999""";"=""0.9999""";"=""-0.9997""";"=""3.6080390343997697e+31""";"=""12.0""";"=""1945511246994457.5""";"=""6.0""";"=""144256123439614.97""";"=""3.5799""";"=""144284723388015.7""";"=""2197964661187775.0""";"=""0.9996""";"=""0.0004""";"=""0.0""";"=""5.211333327666391e+25""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.4914""";"=""0.0183""";"=""0.3478""";"=""-1.0""";"=""0.2126""";Мало данных (Оценка по KL)
"=""A009114""";Expansion of e.g.f. cos(x)/exp(tan(x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=1.7738616335627671e+28;Успешно;"=""22.0""";"=""-1620232695414704.2""";"=""7953065622795007.0""";"=""4.9086""";"=""-4.3319""";"=""16.8767""";"=""65092.0""";"=""11963008172556.79""";"=""19.61""";"=""4.3685""";"=""1.5955""";"=""0.3676""";"=""-1.0""";"=""1.0""";"=""-0.9999""";"=""0.9999""";"=""-0.9998""";"=""1.6134136151118996e+34""";"=""11.0""";"=""4.0677585311862584e+16""";"=""6.0""";"=""1778325511675469.8""";"=""3.4579""";"=""3628331009069552.0""";"=""4.346445728361926e+16""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""1.7738616335627671e+28""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.4918""";"=""0.0251""";"=""0.35""";"=""-1.0""";"=""0.1723""";Мало данных (Оценка по KL)
"=""A009115""";Expansion of e.g.f. cos(x)/exp(tanh(x)).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=1.5280683874785794e+30;Успешно;"=""22.0""";"=""2087474934199175.2""";"=""8774137936812189.0""";"=""4.2032""";"=""4.2991""";"=""16.6631""";"=""132396.0""";"=""3914741436506352.5""";"=""18.69""";"=""4.3685""";"=""2.261""";"=""0.3676""";"=""0.9862""";"=""-0.9992""";"=""-0.9759""";"=""0.9977""";"=""0.9357""";"=""1.934174350422145e+34""";"=""1.0""";"=""4.581775134109459e+16""";"=""6.0""";"=""2938087060477421.0""";"=""3.4559""";"=""4182862865268662.5""";"=""4.29345291857364e+16""";"=""0.9841""";"=""0.0159""";"=""0.0""";"=""1.5280683874785794e+30""";"=""0.0""";"=""0.9845""";"=""0.0""";"=""0.5069""";"=""0.0369""";"=""0.4286""";"=""-1.0""";"=""0.3377""";Нетипичный ряд
"=""A009116""";Expansion of e.g.f. cos(x) / exp(x).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=314146179364.5;Успешно;"=""45.0""";"=""-55924.04""";"=""737688.93""";"=""13.1909""";"=""-3.354""";"=""20.8116""";"=""64.0""";"=""235929.6""";"=""18.0""";"=""4.6462""";"=""2.5074""";"=""0.3335""";"=""-0.8005""";"=""-0.2221""";"=""0.8731""";"=""-1.0""";"=""0.8003""";"=""550987267917732.9""";"=""17.0""";"=""8577710.27""";"=""12.0""";"=""1937872.47""";"=""4.3383""";"=""360154.71""";"=""20475486.45""";"=""0.7145""";"=""0.2855""";"=""0.0""";"=""314146179364.5""";"=""0.0""";"=""-0.6641""";"=""0.0""";"=""0.453""";"=""0.019""";"=""0.3529""";"=""7.5976""";"=""0.2343""";Значим (Хи-Квадрат OK)
"=""A009117""";Expansion of e.g.f.: 1/2 + exp(-4*x)/2.;[Класс 11] Сплетенная Нелинейная Стохастика, Херст Памяти=0.4841;Успешно;"=""26.0""";"=""-17321537028348.04""";"=""112700971480733.02""";"=""6.5064""";"=""-4.255""";"=""18.2796""";"=""6422528.0""";"=""6734508720128.0""";"=""18.75""";"=""4.7004""";"=""1.0""";"=""0.4844""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""1.0""";"=""-1.0""";"=""4.574810166156989e+30""";"=""13.0""";"=""750599937895083.0""";"=""7.0""";"=""106299508492079.19""";"=""3.6767""";"=""48243248265050.34""";"=""968902057206017.8""";"=""1.0""";"=""0.0""";"=""0.0""";"=""0.72""";"=""0.0""";"=""-1.0""";"=""0.0""";"=""0.4841""";"=""0.0618""";"=""0.2308""";"=""-1.0""";"=""0.6692""";Нетипичный ряд
"=""A009118""";Expansion of e.g.f. cos(x/cos(x)) (even powers only).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=6.448054610530652e+43;Успешно;"=""15.0""";"=""1.9388366042122672e+24""";"=""7.221898361239651e+24""";"=""3.7249""";"=""3.4743""";"=""10.071""";"=""1.0032269211238446e+18""";"=""8.773256673968073e+24""";"=""13.94""";"=""3.9069""";"=""1.2389""";"=""0.2449""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.867529293258543e+51""";"=""1.0""";"=""2.907191790421954e+25""";"=""4.0""";"=""8.235650670014402e+22""";"=""2.8073""";"=""4.111320829706023e+24""";"=""2.896072426476397e+25""";"=""1.0""";"=""0.0""";"=""0.0""";"=""6.448054610530652e+43""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4873""";"=""0.0553""";"=""0.4667""";"=""-1.0""";"=""0.4154""";Нетипичный ряд
